query,intent,department,priority,sentiment
What is the process to apply for revaluation?,Examination,Examination Department,Medium,Neutral
I paid the fee online but the portal still shows dues pending.,Finance,Finance Department,Medium,Negative
The challan generated has incorrect details.,Finance,Finance Department,Medium,Negative
When will campus placements begin this year?,Placement,Placement Cell,Medium,Neutral
What is the procedure for the internal complaints committee?,Complaint,Student Affairs,Low,Neutral
What documents are required for the admission process?,Admission,Admission Department,Medium,Neutral
The staff at the admission office was very helpful.,Admission,Admission Department,Medium,Positive
Wi-Fi in the hostel has not been working for 16 days.,Hostel,Hostel Department,Medium,Negative
I submitted all documents but my application still shows incomplete.,Scholarship,Scholarship Cell,High,Negative
How do I register on the placement portal?,Placement,Placement Cell,Medium,Neutral
Is there a provision for sports quota admission?,Admission,Admission Department,Medium,Neutral
When is the scholarship application portal open?,Scholarship,Scholarship Cell,Low,Neutral
The practical exam was scheduled without any prior intimation.,Examination,Examination Department,High,Negative
The library is closed during exam preparation time.,General,Help Desk,High,Negative
Discriminatory remarks were made by a professor in class.,Complaint,Student Affairs,High,Negative
My fee refund has not been processed even after 7 months.,Finance,Finance Department,High,Negative
I received my offer letter within 26 days of the interview.,Placement,Placement Cell,Medium,Positive
When will the second merit list be published?,Admission,Admission Department,Medium,Neutral
The placement portal login is not working for me.,Placement,Placement Cell,Medium,Negative
My admission application has been pending for 9 weeks with no update.,Admission,Admission Department,High,Negative
The mock interviews organised by placement cell were excellent.,Placement,Placement Cell,Low,Positive
I could not find my roll number on the examination portal.,Examination,Examination Department,Medium,Negative
I was asked to submit documents twice but still no confirmation.,Admission,Admission Department,High,Negative
What is the exam form fill-up last date?,Examination,Examination Department,Medium,Neutral
The help desk is not responding to my queries.,General,Help Desk,High,Negative
What is the deadline for scholarship form submission?,Scholarship,Scholarship Cell,Medium,Neutral
What is the academic calendar for this year?,General,Help Desk,Medium,Neutral
I was charged late fee even though I paid before the deadline.,Finance,Finance Department,High,Negative
Are there any internship opportunities through the placement cell?,Placement,Placement Cell,Low,Neutral
How do I register on the placement portal?,Placement,Placement Cell,Medium,Neutral
Is there a government scholarship tie-up with this university?,Scholarship,Scholarship Cell,Low,Neutral
The mock interviews organised by placement cell were excellent.,Placement,Placement Cell,Medium,Positive
How long does it take to resolve a grievance?,Complaint,Student Affairs,Medium,Neutral
I was declared ineligible for scholarship without any explanation.,Scholarship,Scholarship Cell,Medium,Negative
My scholarship was cancelled despite fulfilling all criteria.,Scholarship,Scholarship Cell,High,Negative
What was the highest package offered last year?,Placement,Placement Cell,Medium,Neutral
Is there a provision for sports quota admission?,Admission,Admission Department,Low,Neutral
The hostel gate is being closed before the permitted time.,Hostel,Hostel Department,High,Negative
What scholarships are available for meritorious students?,Scholarship,Scholarship Cell,Low,Neutral
What is the process for NRI admission?,Admission,Admission Department,Medium,Neutral
When will the second merit list be published?,Admission,Admission Department,Low,Neutral
How do I download my fee receipt from the portal?,Finance,Finance Department,Low,Neutral
Wrong category was assigned to me during the admission process.,Admission,Admission Department,Medium,Negative
How do I apply for a bonafide certificate?,General,Help Desk,Medium,Neutral
The merit scholarship process was transparent and fair.,Scholarship,Scholarship Cell,Low,Positive
What happens if I miss the fee deadline?,Finance,Finance Department,Medium,Neutral
How do I file a formal complaint against a faculty member?,Complaint,Student Affairs,Medium,Neutral
Is there a government scholarship tie-up with this university?,Scholarship,Scholarship Cell,Medium,Neutral
What is the last date for admission form submission?,Admission,Admission Department,Medium,Neutral
Is direct admission available for lateral entry students?,Admission,Admission Department,Low,Neutral
My seat allotment was updated within 20 hours as promised.,Admission,Admission Department,Low,Positive
The student affairs office handled my case professionally.,Complaint,Student Affairs,Low,Positive
My grievance has been ignored by the department for 25 weeks.,Complaint,Student Affairs,Medium,Negative
A faculty member is giving biased marks to certain students.,Complaint,Student Affairs,High,Negative
Is there a government scholarship tie-up with this university?,Scholarship,Scholarship Cell,Medium,Neutral
What action is taken against proven ragging cases?,Complaint,Student Affairs,Medium,Neutral
My grievance has been ignored by the department for 29 weeks.,Complaint,Student Affairs,Medium,Negative
What happens if I miss the fee deadline?,Finance,Finance Department,Medium,Neutral
The hostel fee receipt has not been generated after payment.,Hostel,Hostel Department,Medium,Negative
How do I update my contact details on the portal?,General,Help Desk,Medium,Neutral
The help desk is not responding to my queries.,General,Help Desk,Medium,Negative
My scholarship application has been pending for 14 months with no update.,Scholarship,Scholarship Cell,Medium,Negative
A faculty member is giving biased marks to certain students.,Complaint,Student Affairs,High,Negative
The exam timetable was changed without prior notice.,Examination,Examination Department,Medium,Negative
"Result was declared faster than expected, appreciated.",Examination,Examination Department,Low,Positive
Thank you for processing my scholarship renewal on time.,Scholarship,Scholarship Cell,Low,Positive
Where can I report a case of harassment?,Complaint,Student Affairs,Medium,Neutral
"My refund was processed within 20 working days, thank you.",Finance,Finance Department,Medium,Positive
Which companies visited last year?,Placement,Placement Cell,Low,Neutral
The pre-placement talk was cancelled without informing students.,Placement,Placement Cell,High,Negative
The practical exam was scheduled without any prior intimation.,Examination,Examination Department,High,Negative
What is the monthly hostel fee for postgraduate students?,Hostel,Hostel Department,Medium,Neutral
The revaluation process was handled efficiently.,Examination,Examination Department,Medium,Positive
